TABLESPACE_NAME,SIZE_GB,USED_GB,USED_PERCENT,COLLECTION_TIME,THRESHOLD
WORK,12582906,384,0,24-02-2025 08:20,80
MONDB_H,16777208,2432,0,24-02-2025 08:20,80
XDB,12582906,384,0,24-02-2025 08:20,80
SYSAUX,8388604,4980942,59,24-02-2025 09:20,80
SYSTEM,12582906,2788024,22,24-02-2025 09:20,75
PERF_TBS,83886040,1756288,2,24-02-2025 09:20,80
UNDOTBS1,41943020,696448,2,24-02-2025 09:20,80
AUDIT_DATA,209715100,6400,0,24-02-2025 09:20,80
TEMP,125829060,4096,0,24-02-2025 09:20,80
TOOLS,88080342,8232,0,24-02-2025 09:20,80
USERS,4194302,2832,0,24-02-2025 09:20,80
WORK,12582906,384,0,24-02-2025 09:20,80
MONDB_H,16777208,2432,0,24-02-2025 09:20,80
XDB,12582906,384,0,24-02-2025 09:20,80
SYSAUX,8388604,4975654,59,24-02-2025 10:20,80
SYSTEM,12582906,2788024,22,24-02-2025 10:20,75
PERF_TBS,83886040,1756288,2,24-02-2025 10:20,80
UNDOTBS1,41943020,626192,1,24-02-2025 10:20,80
AUDIT_DATA,209715100,6400,0,24-02-2025 10:20,80
TEMP,125829060,5248,0,24-02-2025 10:20,80
TOOLS,88080342,8232,0,24-02-2025 10:20,80
USERS,4194302,2832,0,24-02-2025 10:20,80
WORK,12582906,384,0,24-02-2025 10:20,80
MONDB_H,16777208,2432,0,24-02-2025 10:20,80
XDB,12582906,384,0,24-02-2025 10:20,80
SYSAUX,8388604,4976422,59,24-02-2025 11:20,80
SYSTEM,12582906,2788024,22,24-02-2025 11:20,75
PERF_TBS,83886040,1756288,2,24-02-2025 11:20,80
UNDOTBS1,41943020,623632,1,24-02-2025 11:20,80
AUDIT_DATA,209715100,6400,0,24-02-2025 11:20,80
TEMP,125829060,6912,0,24-02-2025 11:20,80
TOOLS,88080342,8232,0,24-02-2025 11:20,80
USERS,4194302,2832,0,24-02-2025 11:20,80
WORK,12582906,384,0,24-02-2025 11:20,80
MONDB_H,16777208,2432,0,24-02-2025 11:20,80
XDB,12582906,384,0,24-02-2025 11:20,80
SYSAUX,8388604,4978006,59,24-02-2025 12:20,80
SYSTEM,12582906,2788024,22,24-02-2025 12:20,75
PERF_TBS,83886040,1756288,2,24-02-2025 12:20,80
UNDOTBS1,41943020,769808,2,24-02-2025 12:20,80
AUDIT_DATA,209715100,6400,0,24-02-2025 12:20,80
TEMP,125829060,7808,0,24-02-2025 12:20,80
TOOLS,88080342,8232,0,24-02-2025 12:20,80
USERS,4194302,2832,0,24-02-2025 12:20,80
WORK,12582906,384,0,24-02-2025 12:20,80
MONDB_H,16777208,2432,0,24-02-2025 12:20,80
XDB,12582906,384,0,24-02-2025 12:20,80
SYSAUX,8388604,4978758,59,24-02-2025 13:20,80
SYSTEM,12582906,2788024,22,24-02-2025 13:20,75
UNDOTBS1,41943020,4899608,12,24-02-2025 13:20,80
PERF_TBS,83886040,1756288,2,24-02-2025 13:20,80
MONDB_H,16777208,2432,0,24-02-2025 13:20,80
TEMP,125829060,7552,0,24-02-2025 13:20,80
TOOLS,88080342,8232,0,24-02-2025 13:20,80
AUDIT_DATA,209715100,6400,0,24-02-2025 13:20,80
USERS,4194302,2832,0,24-02-2025 13:20,80
WORK,12582906,384,0,24-02-2025 13:20,80
XDB,12582906,384,0,24-02-2025 13:20,80
SYSAUX,8388604,4979286,59,24-02-2025 14:20,80
SYSTEM,12582906,2788024,22,24-02-2025 14:20,75
UNDOTBS1,41943020,1552520,4,24-02-2025 14:20,80
PERF_TBS,83886040,1756288,2,24-02-2025 14:20,80
AUDIT_DATA,209715100,6400,0,24-02-2025 14:20,80
TEMP,125829060,7936,0,24-02-2025 14:20,80
TOOLS,88080342,8232,0,24-02-2025 14:20,80
USERS,4194302,2832,0,24-02-2025 14:20,80
WORK,12582906,384,0,24-02-2025 14:20,80
MONDB_H,16777208,2432,0,24-02-2025 14:20,80
XDB,12582906,384,0,24-02-2025 14:20,80
SYSAUX,8388604,4979654,59,24-02-2025 15:20,80
SYSTEM,12582906,2788024,22,24-02-2025 15:20,75
PERF_TBS,83886040,1756288,2,24-02-2025 15:20,80
UNDOTBS1,41943020,521880,1,24-02-2025 15:20,80
AUDIT_DATA,209715100,6400,0,24-02-2025 15:20,80
TEMP,125829060,9472,0,24-02-2025 15:20,80
TOOLS,88080342,8232,0,24-02-2025 15:20,80
USERS,4194302,2832,0,24-02-2025 15:20,80
WORK,12582906,384,0,24-02-2025 15:20,80
MONDB_H,16777208,2432,0,24-02-2025 15:20,80
XDB,12582906,384,0,24-02-2025 15:20,80
SYSAUX,8388604,4980294,59,24-02-2025 16:20,80
SYSTEM,12582906,2788024,22,24-02-2025 16:20,75
PERF_TBS,83886040,1756288,2,24-02-2025 16:20,80
UNDOTBS1,41943020,461616,1,24-02-2025 16:20,80
AUDIT_DATA,209715100,6400,0,24-02-2025 16:20,80
TEMP,125829060,11392,0,24-02-2025 16:20,80
TOOLS,88080342,8232,0,24-02-2025 16:20,80
USERS,4194302,2832,0,24-02-2025 16:20,80
WORK,12582906,384,0,24-02-2025 16:20,80
MONDB_H,16777208,2432,0,24-02-2025 16:20,80
XDB,12582906,384,0,24-02-2025 16:20,80
SYSAUX,8388604,4980630,59,24-02-2025 17:20,80
SYSTEM,12582906,2788024,22,24-02-2025 17:20,75
PERF_TBS,83886040,1756288,2,24-02-2025 17:20,80
UNDOTBS1,41943020,390536,1,24-02-2025 17:20,80
AUDIT_DATA,209715100,6400,0,24-02-2025 17:20,80
TEMP,125829060,11136,0,24-02-2025 17:20,80
TOOLS,88080342,8232,0,24-02-2025 17:20,80
USERS,4194302,2832,0,24-02-2025 17:20,80
WORK,12582906,384,0,24-02-2025 17:20,80
MONDB_H,16777208,2432,0,24-02-2025 17:20,80
XDB,12582906,384,0,24-02-2025 17:20,80
SYSAUX,8388604,4981734,59,24-02-2025 18:20,80
SYSTEM,12582906,2788024,22,24-02-2025 18:20,75
PERF_TBS,83886040,1756288,2,24-02-2025 18:20,80
UNDOTBS1,41943020,360968,1,24-02-2025 18:20,80
AUDIT_DATA,209715100,6400,0,24-02-2025 18:20,80
TEMP,125829060,11776,0,24-02-2025 18:20,80
TOOLS,88080342,8232,0,24-02-2025 18:20,80
USERS,4194302,2832,0,24-02-2025 18:20,80
WORK,12582906,384,0,24-02-2025 18:20,80
MONDB_H,16777208,2432,0,24-02-2025 18:20,80
XDB,12582906,384,0,24-02-2025 18:20,80
SYSAUX,8388604,4982182,59,24-02-2025 19:20,80
SYSTEM,12582906,2788024,22,24-02-2025 19:20,75
PERF_TBS,83886040,1756288,2,24-02-2025 19:20,80
UNDOTBS1,41943020,605192,1,24-02-2025 19:20,80
AUDIT_DATA,209715100,6400,0,24-02-2025 19:20,80
TEMP,125829060,11776,0,24-02-2025 19:20,80
TOOLS,88080342,8232,0,24-02-2025 19:20,80
USERS,4194302,2832,0,24-02-2025 19:20,80
WORK,12582906,384,0,24-02-2025 19:20,80
MONDB_H,16777208,2432,0,24-02-2025 19:20,80
XDB,12582906,384,0,24-02-2025 19:20,80
SYSAUX,8388604,4986142,59,25-02-2025 02:20,80
SYSTEM,12582906,2788024,22,25-02-2025 02:20,75
PERF_TBS,83886040,1756288,2,25-02-2025 02:20,80
UNDOTBS1,41943020,583936,1,25-02-2025 02:20,80
AUDIT_DATA,209715100,6400,0,25-02-2025 02:20,80
TEMP,125829060,1792,0,25-02-2025 02:20,80
TOOLS,88080342,8232,0,25-02-2025 02:20,80
USERS,4194302,2832,0,25-02-2025 02:20,80
WORK,12582906,384,0,25-02-2025 02:20,80
MONDB_H,16777208,2432,0,25-02-2025 02:20,80
XDB,12582906,384,0,25-02-2025 02:20,80
SYSAUX,8388604,4986462,59,25-02-2025 03:20,80
SYSTEM,12582906,2788024,22,25-02-2025 03:20,75
PERF_TBS,83886040,1756288,2,25-02-2025 03:20,80
UNDOTBS1,41943020,510720,1,25-02-2025 03:20,80
AUDIT_DATA,209715100,6400,0,25-02-2025 03:20,80
TEMP,125829060,2176,0,25-02-2025 03:20,80
TOOLS,88080342,8232,0,25-02-2025 03:20,80
USERS,4194302,2832,0,25-02-2025 03:20,80
WORK,12582906,384,0,25-02-2025 03:20,80
MONDB_H,16777208,2432,0,25-02-2025 03:20,80
XDB,12582906,384,0,25-02-2025 03:20,80
SYSAUX,8388604,4986126,59,25-02-2025 04:20,80
SYSTEM,12582906,2788024,22,25-02-2025 04:20,75
PERF_TBS,83886040,1756288,2,25-02-2025 04:20,80
UNDOTBS1,41943020,334208,1,25-02-2025 04:20,80
AUDIT_DATA,209715100,6400,0,25-02-2025 04:20,80
TEMP,125829060,3712,0,25-02-2025 04:20,80
TOOLS,88080342,8232,0,25-02-2025 04:20,80
USERS,4194302,2832,0,25-02-2025 04:20,80
WORK,12582906,384,0,25-02-2025 04:20,80
MONDB_H,16777208,2432,0,25-02-2025 04:20,80
XDB,12582906,384,0,25-02-2025 04:20,80
SYSAUX,8388604,4986622,59,25-02-2025 05:20,80
SYSTEM,12582906,2788024,22,25-02-2025 05:20,75
PERF_TBS,83886040,1756288,2,25-02-2025 05:20,80
UNDOTBS1,41943020,359424,1,25-02-2025 05:20,80
AUDIT_DATA,209715100,6400,0,25-02-2025 05:20,80
TEMP,125829060,3968,0,25-02-2025 05:20,80
TOOLS,88080342,8232,0,25-02-2025 05:20,80
USERS,4194302,2832,0,25-02-2025 05:20,80
WORK,12582906,384,0,25-02-2025 05:20,80
MONDB_H,16777208,2432,0,25-02-2025 05:20,80
XDB,12582906,384,0,25-02-2025 05:20,80
SYSAUX,8388604,4987302,59,25-02-2025 06:20,80
SYSTEM,12582906,2788024,22,25-02-2025 06:20,75
PERF_TBS,83886040,1756288,2,25-02-2025 06:20,80
UNDOTBS1,41943020,366208,1,25-02-2025 06:20,80
AUDIT_DATA,209715100,6400,0,25-02-2025 06:20,80
TEMP,125829060,4736,0,25-02-2025 06:20,80
TOOLS,88080342,8232,0,25-02-2025 06:20,80
USERS,4194302,2832,0,25-02-2025 06:20,80
WORK,12582906,384,0,25-02-2025 06:20,80
MONDB_H,16777208,2432,0,25-02-2025 06:20,80
XDB,12582906,384,0,25-02-2025 06:20,80
SYSAUX,8388604,4987646,59,25-02-2025 07:20,80
SYSTEM,12582906,2788024,22,25-02-2025 07:20,75
PERF_TBS,83886040,1756288,2,25-02-2025 07:20,80
UNDOTBS1,41943020,252160,1,25-02-2025 07:20,80
AUDIT_DATA,209715100,6400,0,25-02-2025 07:20,80
TEMP,125829060,4736,0,25-02-2025 07:20,80
TOOLS,88080342,8232,0,25-02-2025 07:20,80
USERS,4194302,2832,0,25-02-2025 07:20,80
WORK,12582906,384,0,25-02-2025 07:20,80
MONDB_H,16777208,2432,0,25-02-2025 07:20,80
