Size,Used,Avail,Used%,date_time
1000G,794G,206G,80%,2025-03-04 12:20:02
1000G,794G,206G,80%,2025-03-04 13:20:02
1000G,795G,206G,80%,2025-03-04 14:20:02
1000G,795G,206G,80%,2025-03-04 15:20:03
1000G,795G,206G,80%,2025-03-04 16:20:02
1000G,795G,206G,80%,2025-03-04 17:20:02
1000G,795G,206G,80%,2025-03-04 18:20:02
1000G,795G,206G,80%,2025-03-04 19:20:01
1000G,796G,204G,80%,2025-03-05 02:20:02
1000G,796G,204G,80%,2025-03-05 03:20:01
1000G,796G,204G,80%,2025-03-05 04:20:01
1000G,796G,204G,80%,2025-03-05 05:20:01
1000G,796G,204G,80%,2025-03-05 06:20:01
1000G,796G,204G,80%,2025-03-05 07:20:02
1000G,796G,204G,80%,2025-03-05 08:20:01
1000G,797G,204G,80%,2025-03-05 09:20:01
1000G,797G,204G,80%,2025-03-05 10:20:01
1000G,797G,204G,80%,2025-03-05 11:20:01
1000G,797G,204G,80%,2025-03-05 12:20:01
1000G,797G,204G,80%,2025-03-05 13:20:03
1000G,797G,204G,80%,2025-03-05 14:20:03
1000G,797G,203G,80%,2025-03-05 15:20:03
1000G,797G,203G,80%,2025-03-05 16:20:03
1000G,797G,203G,80%,2025-03-05 17:20:02
1000G,797G,203G,80%,2025-03-05 18:20:03
1000G,797G,203G,80%,2025-03-05 19:20:04
1000G,799G,202G,80%,2025-03-06 02:20:04
1000G,799G,202G,80%,2025-03-06 03:20:03
1000G,799G,202G,80%,2025-03-06 04:20:03
1000G,799G,202G,80%,2025-03-06 05:20:04
1000G,799G,202G,80%,2025-03-06 06:20:03
1000G,799G,202G,80%,2025-03-06 07:20:02
1000G,799G,202G,80%,2025-03-06 08:20:01
1000G,799G,202G,80%,2025-03-06 09:20:04
1000G,799G,201G,80%,2025-03-06 10:20:02
1000G,799G,201G,80%,2025-03-06 11:20:05
1000G,799G,201G,80%,2025-03-06 12:20:03
1000G,799G,201G,80%,2025-03-06 13:20:01
1000G,799G,201G,80%,2025-03-06 14:20:02
1000G,799G,201G,80%,2025-03-06 15:20:02
1000G,800G,201G,80%,2025-03-06 16:20:02
1000G,800G,201G,80%,2025-03-06 17:20:01
