Size,Used,Avail,Used%,date_time
1000G,619G,382G,62%,2025-04-04 10:20:03
1000G,619G,382G,62%,2025-04-04 11:20:02
1000G,619G,382G,62%,2025-04-04 12:20:02
1000G,619G,381G,62%,2025-04-04 13:20:01
1000G,619G,381G,62%,2025-04-04 14:20:02
1000G,619G,381G,62%,2025-04-04 15:20:05
1000G,619G,381G,62%,2025-04-04 16:20:02
1000G,619G,381G,62%,2025-04-04 17:20:01
1000G,619G,381G,62%,2025-04-04 18:20:02
1000G,619G,381G,62%,2025-04-04 19:20:02
1000G,614G,386G,62%,2025-04-07 02:20:01
1000G,614G,386G,62%,2025-04-07 03:20:01
1000G,614G,386G,62%,2025-04-07 04:20:01
1000G,614G,386G,62%,2025-04-07 05:20:01
1000G,614G,386G,62%,2025-04-07 06:20:04
1000G,614G,386G,62%,2025-04-07 07:20:04
1000G,614G,386G,62%,2025-04-07 08:20:03
1000G,614G,386G,62%,2025-04-07 09:20:04
1000G,614G,386G,62%,2025-04-07 10:20:03
1000G,614G,386G,62%,2025-04-07 11:20:05
1000G,614G,386G,62%,2025-04-07 12:20:02
1000G,614G,386G,62%,2025-04-07 13:20:02
1000G,615G,386G,62%,2025-04-07 14:20:01
1000G,615G,386G,62%,2025-04-07 15:20:02
1000G,615G,386G,62%,2025-04-07 16:20:02
1000G,615G,386G,62%,2025-04-07 17:20:01
1000G,615G,386G,62%,2025-04-07 18:20:01
1000G,615G,386G,62%,2025-04-07 19:20:01
1000G,616G,384G,62%,2025-04-08 02:20:03
1000G,616G,384G,62%,2025-04-08 03:20:04
1000G,616G,384G,62%,2025-04-08 04:20:03
1000G,616G,384G,62%,2025-04-08 05:20:02
1000G,616G,384G,62%,2025-04-08 06:20:03
1000G,616G,384G,62%,2025-04-08 07:20:02
1000G,616G,384G,62%,2025-04-08 08:20:02
1000G,617G,384G,62%,2025-04-08 09:20:01
1000G,617G,384G,62%,2025-04-08 10:20:02
1000G,617G,384G,62%,2025-04-08 11:20:01
1000G,617G,384G,62%,2025-04-08 12:20:03
1000G,617G,384G,62%,2025-04-08 13:20:03
1000G,617G,384G,62%,2025-04-08 14:20:03
1000G,617G,383G,62%,2025-04-08 15:20:04
1000G,617G,383G,62%,2025-04-08 16:20:01
1000G,617G,383G,62%,2025-04-08 17:20:01
1000G,617G,383G,62%,2025-04-08 18:20:01
1000G,617G,383G,62%,2025-04-08 19:20:02
1000G,619G,382G,62%,2025-04-09 02:20:01
1000G,619G,382G,62%,2025-04-09 03:20:02
1000G,619G,382G,62%,2025-04-09 04:20:01
1000G,619G,382G,62%,2025-04-09 05:20:02
1000G,619G,382G,62%,2025-04-09 06:20:02
1000G,619G,382G,62%,2025-04-09 07:20:01
1000G,619G,382G,62%,2025-04-09 08:20:01
1000G,619G,382G,62%,2025-04-09 09:20:02
1000G,619G,381G,62%,2025-04-09 10:20:03
1000G,619G,381G,62%,2025-04-09 11:20:03
